Time [s],Current [A],Voltage [V],Discharge capacity [A.h],Cycle,Step
0.0,0.5,4.158406534930313,0.0,0.0,0.0
180.0,0.5,4.134207898279248,0.024999999999999998,0.0,0.0
360.0,0.5,4.124113536188563,0.05000000000000001,0.0,0.0
540.0,0.5,4.11617854486758,0.07500000000000001,0.0,0.0
720.0,0.5,4.109471034564823,0.1,0.0,0.0
900.0,0.5,4.103651845912246,0.125,0.0,0.0
1080.0,0.5,4.098567687638111,0.15,0.0,0.0
1260.0,0.5,4.094131240909859,0.17500000000000002,0.0,0.0
1440.0,0.5,4.090287136382581,0.2,0.0,0.0
1620.0,0.5,4.086991815085516,0.22499999999999998,0.0,0.0
1800.0,0.5,4.084201641323872,0.25,0.0,0.0
1980.0,0.5,4.081868890373233,0.27499999999999997,0.0,0.0
2160.0,0.5,4.079941578780929,0.3,0.0,0.0
2340.0,0.5,4.0783596171118255,0.32499999999999996,0.0,0.0
2520.0,0.5,4.077059351677288,0.3499999999999999,0.0,0.0
2700.0,0.5,4.075972348569174,0.37499999999999994,0.0,0.0
2880.0,0.5,4.075028734386008,0.4,0.0,0.0
3060.0,0.5,4.074159054798008,0.425,0.0,0.0
3240.0,0.5,4.073303390308849,0.45,0.0,0.0
3420.0,0.5,4.072401012303191,0.4750000000000001,0.0,0.0
3600.0,0.5,4.071399076715474,0.5000000000000001,0.0,0.0
3780.0,0.5,4.070251701699796,0.5250000000000001,0.0,0.0
3960.0,0.5,4.06891720484407,0.55,0.0,0.0
4140.0,0.5,4.067362580244964,0.5750000000000001,0.0,0.0
4320.0,0.5,4.065562932051185,0.6000000000000001,0.0,0.0
4500.0,0.5,4.063501411150607,0.6250000000000001,0.0,0.0
4680.0,0.5,4.061169559022832,0.65,0.0,0.0
4860.0,0.5,4.058565895949577,0.6749999999999999,0.0,0.0
5040.0,0.5,4.055695480347038,0.7000000000000001,0.0,0.0
5220.0,0.5,4.052568648880472,0.7250000000000001,0.0,0.0
